Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY18-19,19939,Bentleigh,-37.91742457,145.0369951,727900,2350,2500,1700,1500,1200,200,1100,650,450,150
FY18-19,19940,Mckinnon,-37.91030903,145.038299,450450,1500,1600,1000,800,600,100,850,350,250,50
FY18-19,19941,Ormond,-37.90321167,145.0396134,766350,2500,2750,1700,1400,1100,200,1250,600,550,100
FY18-19,19942,Glenhuntly,-37.88971946,145.0422229,960500,3100,3350,2200,1900,1450,200,1600,800,600,150
FY18-19,19943,Caulfield,-37.87745946,145.0425248,4175050,12800,13500,10050,10200,7650,350,2850,3350,4950,2000
FY18-19,19944,Malvern,-37.8662533,145.0292939,832800,2750,3000,1750,1500,1200,100,1150,600,900,200
FY18-19,19945,Armadale,-37.85645238,145.0193255,582450,1950,2150,1200,1050,750,100,900,450,600,100
FY18-19,19946,Toorak,-37.85077381,145.0139086,514950,1750,1950,950,900,600,50,850,400,500,100
FY18-19,19947,Hawksburn,-37.84459087,145.0021421,507600,1650,1800,1050,1050,750,100,850,400,350,100
FY18-19,19948,Sandringham,-37.95033018,145.0045614,875550,2900,2800,3350,1500,1150,250,1500,500,400,100
FY18-19,19949,Hampton,-37.93797681,145.0014706,577200,1950,1950,2000,950,700,150,1050,350,300,100
FY18-19,19950,Brighton Beach,-37.92648432,144.9891536,447600,1400,1300,1700,900,850,100,600,250,300,50
FY18-19,19951,Middle Brighton,-37.91513441,144.9962991,682450,2200,2200,2250,1300,1100,100,900,500,550,150
FY18-19,19952,North Brighton,-37.90488721,145.002605,665650,2250,2250,2250,1100,750,150,1150,450,450,100
FY18-19,19953,Gardenvale,-37.89669508,145.0041684,518050,1800,1750,1800,800,550,100,900,350,400,50
FY18-19,19954,Elsternwick,-37.88475311,145.0008979,971200,3300,3250,3350,1600,1200,200,1650,650,600,200
FY18-19,19955,Ripponlea,-37.87590643,144.9952366,656550,2250,2300,2050,950,700,150,1250,450,400,100
FY18-19,19956,Balaclava,-37.86948773,144.9935121,1114550,3800,3850,3650,1700,1350,200,1850,750,800,200
FY18-19,19957,Windsor,-37.85605308,144.9920352,915800,3150,3300,2700,1350,950,150,1350,550,1000,250
FY18-19,19958,Prahran,-37.84951848,144.9898599,1156050,4000,4100,3600,1650,1200,100,1200,750,1750,300
FY18-19,19959,South Yarra,-37.83844935,144.9923422,4367150,14500,15450,10700,8050,5750,450,4400,3300,5950,1350
FY18-19,19960,Upfield,-37.66607779,144.9467399,366300,1200,1250,1000,650,500,150,450,300,300,50
FY18-19,19961,Gowrie,-37.700678,144.9588743,321300,1050,1050,950,650,500,150,500,250,150,50
FY18-19,19962,Fawkner,-37.71462129,144.960545,215100,700,700,650,400,350,100,300,150,100,50
FY18-19,19963,Merlynston,-37.72093389,144.9613135,392850,1300,1350,1150,700,550,150,750,250,150,50
FY18-19,19964,Batman,-37.73352285,144.9628406,334900,1100,1100,1000,650,500,100,550,200,200,50
FY18-19,19965,Coburg,-37.74234502,144.9633363,728500,2350,2400,2150,1450,1050,250,1100,600,400,100
FY18-19,19966,Moreland,-37.75448484,144.961823,380850,1250,1250,1150,750,550,100,600,250,250,50
FY18-19,19967,Anstey,-37.76124203,144.960684,468600,1500,1500,1400,1000,700,100,800,300,250,50
FY18-19,19968,Brunswick,-37.76772055,144.9595865,395250,1250,1250,1150,900,650,50,500,300,350,100
FY18-19,19969,Jewell,-37.77498702,144.9587169,422900,1350,1400,1200,850,700,50,450,350,450,100
FY18-19,19970,Royal Park,-37.78119293,144.9523013,357050,1100,1050,1200,800,650,50,200,300,450,50
FY18-19,19971,Flemington Bridge,-37.78813995,144.9393233,286650,900,950,850,650,450,50,350,250,250,50
FY18-19,19972,Macaulay,-37.79426673,144.9361663,289550,950,1000,850,500,350,50,150,250,500,50
FY18-19,19974,Clifton Hill,-37.78865745,144.9954167,990100,2850,2950,2650,2900,2050,150,1250,650,700,200
FY18-19,19975,Victoria Park,-37.79915782,144.9944514,757700,2500,2600,2250,1350,1000,100,750,450,1100,200
FY18-19,19976,Collingwood,-37.80452593,144.9937497,564450,1900,2000,1550,950,650,50,400,350,1050,150
FY18-19,19977,North Richmond,-37.81039836,144.9925003,929650,3050,3100,2750,1700,1350,100,600,650,1500,250
FY18-19,19978,West Richmond,-37.81494896,144.9914228,510950,1700,1750,1500,850,600,50,400,400,750,150
FY18-19,19983,Macleod,-37.7260123,145.0691433,598600,2100,2200,1750,800,550,250,1150,350,350,50
FY18-19,19984,Watsonia,-37.71095798,145.0837934,715500,2450,2550,2150,1050,700,450,1450,300,250,50
FY18-19,19985,Greensborough,-37.70395408,145.1082474,728850,2450,2500,2200,1200,850,450,1250,400,350,50
FY18-19,19986,Montmorency,-37.71529624,145.1215157,322350,1100,1200,900,450,300,200,700,150,150,50
FY18-19,19987,Eltham,-37.71354967,145.147822,588850,2050,2150,1650,850,600,400,1050,300,350,50
FY18-19,19988,Diamond Creek,-37.67329744,145.1585062,177250,600,650,500,300,200,150,350,100,50,50
FY18-19,19989,Wattle Glen,-37.66396792,145.1816145,48050,150,200,150,50,50,50,100,50,50,50
FY18-19,19990,Hurstbridge,-37.63939817,145.1920169,123150,400,450,350,200,150,100,250,50,50,50
FY18-19,19991,Williamstown,-37.86775292,144.9053233,161900,500,550,500,300,250,50,200,100,150,50
FY18-19,19992,Williamstown Beach,-37.86398189,144.8944837,202950,700,700,600,300,250,50,300,150,150,50
FY18-19,19993,North Williamstown,-37.85733348,144.8890695,364600,1300,1350,1100,500,300,100,700,250,250,50
FY18-19,19994,Newport,-37.84271757,144.8835999,1334350,4400,4450,4050,2600,1700,400,2450,800,650,150
FY18-19,19995,Spotswood,-37.83063888,144.8859335,344850,1150,1150,1100,600,450,100,550,250,200,50
FY18-19,19996,Yarraville,-37.81585044,144.8899337,998400,3350,3400,3050,1750,1250,250,1850,650,500,200
